chapter,description,exercise_set,problem_number,problem,solution
1,For each of the following say whether the statement is true (T) or false (F).,A,1,"In any valid argument, the premises are all true.","In any valid argument, the premises are all true."
1,For each of the following say whether the statement is true (T) or false (F).,A,2,"In any valid argument, the conclusion is true.","In any valid argument, the conclusion is true."
1,For each of the following say whether the statement is true (T) or false (F).,A,3,"In any valid argument, if the premises are all true, then the conclusion is also
true.","In any valid argument, if the premises are all true, then the conclusion is also"
1,For each of the following say whether the statement is true (T) or false (F).,A,4,"In any factually correct argument, the premises are all true.","In any factually correct argument, the premises are all true."
1,For each of the following say whether the statement is true (T) or false (F).,A,5,"In any factually correct argument, the conclusion is true.","In any factually correct argument, the conclusion is true."
1,For each of the following say whether the statement is true (T) or false (F).,A,6,"In any sound argument, the premises are all true.","In any sound argument, the premises are all true."
1,For each of the following say whether the statement is true (T) or false (F).,A,7,In a sound argument the conclusion is true.,In a sound argument the conclusion is true.
1,For each of the following say whether the statement is true (T) or false (F).,A,8,Every sound argument is factually correct.,Every sound argument is factually correct.
1,For each of the following say whether the statement is true (T) or false (F).,A,9,Every sound argument is valid.,Every sound argument is valid.
1,For each of the following say whether the statement is true (T) or false (F).,A,10,Every factually correct argument is valid.,Every factually correct argument is valid.
1,For each of the following say whether the statement is true (T) or false (F).,A,11,Every factually correct argument is sound.,Every factually correct argument is sound.
1,For each of the following say whether the statement is true (T) or false (F).,A,12,Every valid argument is factually correct.,Every valid argument is factually correct.
1,For each of the following say whether the statement is true (T) or false (F).,A,13,Every valid argument is sound.,Every valid argument is sound.
1,For each of the following say whether the statement is true (T) or false (F).,A,14,Every valid argument has a true conclusion.,Every valid argument has a true conclusion.
1,For each of the following say whether the statement is true (T) or false (F).,A,15,Every factually correct argument has a true conclusion.,Every factually correct argument has a true conclusion.
1,For each of the following say whether the statement is true (T) or false (F).,A,16,Every sound argument has a true conclusion.,Every sound argument has a true conclusion.
1,For each of the following say whether the statement is true (T) or false (F).,A,17,"If an argument is valid and has a false conclusion, then it must have at least
one false premise.","If an argument is valid and has a false conclusion, then it must have at least"
1,For each of the following say whether the statement is true (T) or false (F).,A,18,"If an argument is valid and has a true conclusion, then it must have all true
premises.","If an argument is valid and has a true conclusion, then it must have all true"
1,For each of the following say whether the statement is true (T) or false (F).,A,19,"If an argument is valid and has at least one false premise then its conclusion
must be false.",If an argument is valid and has at least one false premise then its conclusion
1,For each of the following say whether the statement is true (T) or false (F).,A,20,"If an argument is valid and has all true premises, then its conclusion must be
true. 
Chapter 1: Basic Concepts 23","If an argument is valid and has all true premises, then its conclusion must be"
1,"In each of the following, you are given an argument to analyze. In each case,
answer the following questions.
(1) Is the argument factually correct?
(2) Is the argument valid?
(3) Is the argument sound?
Note that in many cases, the answer might legitimately be “can't tell”. For
example, in certain cases in which one does not know whether the premises are true
or false, one cannot decide whether the argument is factually correct, and hence on
cannot decide whether the argument is sound.",B,1,"all dogs are reptiles
all reptiles are Martians
/ all dogs are Martians",all dogs are reptiles
1,"In each of the following, you are given an argument to analyze. In each case,
answer the following questions.
(1) Is the argument factually correct?
(2) Is the argument valid?
(3) Is the argument sound?
Note that in many cases, the answer might legitimately be “can't tell”. For
example, in certain cases in which one does not know whether the premises are true
or false, one cannot decide whether the argument is factually correct, and hence on
cannot decide whether the argument is sound.",B,2,"some dogs are cats
all cats are felines
/ some dogs are felines",some dogs are cats
1,"In each of the following, you are given an argument to analyze. In each case,
answer the following questions.
(1) Is the argument factually correct?
(2) Is the argument valid?
(3) Is the argument sound?
Note that in many cases, the answer might legitimately be “can't tell”. For
example, in certain cases in which one does not know whether the premises are true
or false, one cannot decide whether the argument is factually correct, and hence on
cannot decide whether the argument is sound.",B,3,"all dogs are Republicans
some dogs are flea-bags
/ some Republicans are flea-bags",all dogs are Republicans
1,"In each of the following, you are given an argument to analyze. In each case,
answer the following questions.
(1) Is the argument factually correct?
(2) Is the argument valid?
(3) Is the argument sound?
Note that in many cases, the answer might legitimately be “can't tell”. For
example, in certain cases in which one does not know whether the premises are true
or false, one cannot decide whether the argument is factually correct, and hence on
cannot decide whether the argument is sound.",B,4,"all dogs are Republicans
some Republicans are flea-bags
/ some dogs are flea-bags",all dogs are Republicans
