Exercise,Answer
"In any valid argument, the premises are all true .",False
"In any valid argument, the conclusion is true.",False
"In any valid argument, if the premises are all t rue, then the conclusion is also",True
"In any factually correct argument, the premises are all true.",True
"In any factually correct argument, the conclusio n is true.",False
"In any sound argument, the premises are all true .",True
In a sound argument the conclusion is true.,True
Every sound argument is factually correct.,True
Every sound argument is valid.,True
Every factually correct argument is valid.,False
Every factually correct argument is sound.,False
Every valid argument is factually correct.,False
Every valid argument is sound.,False
Every valid argument has a true conclusion.,False
Every factually correct argument has a true con clusion.,False
Every sound argument has a true conclusion.,True
"If an argument is valid and has a false conclus ion, then it must have at least",True
"If an argument is valid and has a true conclusi on, then it must have all true",False
If an argument is valid and has at least one fa lse premise then its conclusion,False
"If an argument is valid and has all true premis es, then its conclusion must be",True
all dogs are reptiles,factually correct? NO
some dogs are cats,factually correct? NO
all dogs are Republicans,factually correct? NO
all dogs are Republicans,factually correct? NO
some cats are pets,factually correct? YES
all cats are mammals,factually correct? YES
all lizards are reptiles,factually correct? YES
all dogs are reptiles,factually correct? NO
no cats are dogs,factually correct? YES
no cats are dogs,factually correct? YES
only dogs are pets,factually correct? NO
only bullfighters are macho,factually correct? NO
only bullfighters are macho,factually correct? NO
food containing DDT is,factually correct? can't tell
the only dogs I like are collies,factually correct? can't tell
the only people still working,factually correct? can't tell
all dogs are reptiles,all dogs are reptiles valid; admits no counterex ample
some dogs are cats,all dogs are mammals all dogs are mammals
all dogs are Republicans,all ducks waddle valid; admits no counterexample
all dogs are Republicans,all cows are eligible voters valid; admits no co unterexample
some cats are pets,all birds can fly all birds lay eggs
all cats are mammals,all cats are vertebrates all cats are vertebrate s
all lizards are reptiles,all dogs are Republicans all dogs are mammals
all dogs are reptiles,all turtles are reptiles all turtles are reptile s
no cats are dogs,no dogs are cats no dogs are cats
no cats are dogs,no mammals are cold-blooded no mammals are cold -blooded
only dogs are pets,No answer available
only bullfighters are macho,No answer available
only bullfighters are macho,No answer available
food containing DDT is,No answer available
the only dogs I like are collies,No answer available
the only people still working,No answer available
all dogs are reptiles,T
all dogs are mammals,F
all ducks waddle,T
all cows are eligible voters,T
all birds can fly,F
all cats are vertebrates,T
all dogs are Republicans,T
all turtles are reptiles,F
no dogs are cats,T
no mammals are cold-blooded,T
all dogs are reptiles,T
all dogs are mammals,F
all ducks waddle,F
all cows are eligible voters,T
all birds can fly,F
all cats are vertebrates,F
all dogs are Republicans,T
all turtles are reptiles,T
no dogs are cats,F
no mammals are cold-blooded,T
~A ∨ B,( P & Q ) ∨ ( P & ~ Q )
~B ∨ X,~ ( P & ~ P )
~Y ∨ C,~ ( P ∨ ~ P )
~Z ∨ X,~ ( P & Q ) ∨ ( ~ P ∨ ~ Q )
(A & X) ∨ (B & Y),~ ( P ∨ Q ) ∨ ( ~ P & ~ Q )
(B & C) ∨ (Y & Z),( P & Q ) ∨ ( ~ P & ~ Q )
~(C & Y) ∨ (A & Z),~ ( P ∨ ( P & Q ) )
~(A & B) ∨ (X & Y),~ ( P ∨ ( P & Q ) ) ∨ P
~(X & Z) ∨ (B & C),( P & ( Q ∨ P ) ) & ~ P
~(X & ~Y) ∨ (B & ~C),( ( P → Q ) → P ) → P
(A ∨ X) & (Y ∨ B),~ ( ~ ( P → Q ) → P )
(B ∨ C) & (Y ∨ Z),( P → Q ) ↔ ~ P
(X ∨ Y) & (X ∨ Z),P → ( Q → ( P & Q ) )
~(A ∨ Y) & (B ∨ X),( P ∨ Q ) ↔ ( ~ P → Q )
~(X ∨ Z) & ( ~X ∨ Z),~ ( P ∨ ( P → Q ) )
~(A ∨ C) ∨ ~(X & ~Y),No answer available
~(B ∨ Z) & ~(X ∨ ~Y),( P → Q ) ↔ ( ~ Q → ~ P )
~[(A ∨ ~C) ∨ (C ∨ ~A)],( P ∨ Q ) → ( P & Q )
~[(B & C) & ~(C &B)],( P & Q ) ∨ ( P & R )
~[(A & B) ∨ ~(B & A)],[ P → ( Q & R ) ] → [ P → R ]
[A ∨ (B ∨ C)] & ~[(A ∨ B) ∨ C],[ P → ( Q ∨ R ) ] → [ P → Q ]
[X ∨ (Y & Z)] ∨ ~[(X ∨ Y) & (X ∨ Z)],[ ( P ∨ Q ) → R ] → [ P → R ]
[A & (B ∨ C)] & ~[(A & B) ∨ (A & C)],[ ( P & Q ) → R ] → [ P → R ]
~{[( ~A & B) & ( ~X & Z)] & ~[(A & ~B) ∨ ~(~Y & ~Z)]},[ ( P & Q ) → R ] → [ ( Q & ~ R ) → ~ P ]
~{~[(B & ~C) ∨ (Y & ~Z)] & [( ~B ∨ X) ∨ (B ∨ ~Y)]},[ P ↔ ( Q ↔ R ) ] ↔ [ ( P ↔ Q ) ↔ R ]
A → B,contingent
A → X,tautology
B → Y,contradiction
Y → Z,contingent
(A → B) → Z,contingent
(X → Y) → Z,contingent
(A → B) → C,contingent
(X → Y) → C,tautology
A → (B → Z),contradiction
X → (Y → Z),tautology
[(A → B) → C] → Z,contradiction
[(A → X) → Y] → Z,contingent
[A → (X → Y)] → C,tautology
[A → (B → Y)] → X,tautology
[(X → Z) → C] → Y,contradiction
[(Y → B) → Y] → Y,contingent
[(A → Y) → B] → Z,tautology
[(A & X) → C] → [(X → C) → X],contingent
[(A & X) → C] → [(A → X) → C],contingent
[(A & X) → Y] → [(X → A) → (A → Y)],tautology
[(A & X) ∨ ( ~A & ~X)] → [(A → X) & (X → A)],contingent
{[A → (B → C)] → [(A & B) → C]} → [(Y → B) → (C → Z)],tautology
{[(X → Y) → Z] → [Z → (X → Y)]} → [(X → Z) → Y],contingent
[(A & X) → Y] → [(A → X) & (A → Y)],tautology
[A → (X & Y)] → [(A → X) ∨ (A → Y)],tautology
A → B,A:    B:
A → X,A:    B:
B → Y,A:    B:
Y → Z,A:    B:
(A → B) → Z,A:    B:
(X → Y) → Z,A:    B:
(A → B) → C,A:    B:
(X → Y) → C,A:    B:
A → (B → Z),A:    B:
X → (Y → Z),A:   B:
[(A → B) → C] → Z,A:   B:
[(A → X) → Y] → Z,A:   B:
[A → (X → Y)] → C,A:   B:
[A → (B → Y)] → X,A:   B:
[(X → Z) → C] → Y,A:   B:
[(Y → B) → Y] → Y,A:   B:
[(A → Y) → B] → Z,A:   B:
[(A & X) → C] → [(X → C) → X],A:   B:
[(A & X) → C] → [(A → X) → C],A:    B:
[(A & X) → Y] → [(X → A) → (A → Y)],A:    B:
[(A & X) ∨ ( ~A & ~X)] → [(A → X) & (X → A)],A:    B:
{[A → (B → C)] → [(A & B) → C]} → [(Y → B) → (C → Z)],A:    B:
{[(X → Y) → Z] → [Z → (X → Y)]} → [(X → Z) → Y],A:    B:
[(A & X) → Y] → [(A → X) & (A → Y)],A:    B:
[A → (X & Y)] → [(A → X) ∨ (A → Y)],No answer available
(P & Q) ∨ (P & ~Q),P → Q ; P   /  Q
~(P & ~P),P → Q ; Q   /  P
~(P ∨ ~P),P → Q ; ~ Q  /  ~ P
~(P&Q) ∨(~P∨~Q),P → Q ; ~ P  /  ~ Q
~( P ∨ Q) ∨ ( ~P & ~Q),P ∨ Q ; ~ P  /  Q
(P & Q) ∨ ( ~P & ~Q),P ∨ Q ; P   /  ~ Q
~(P ∨ (P & Q)),~ ( P & Q ) ; P   /  ~ Q
~(P ∨ (P & Q)) ∨ P,~ ( P & Q ) ; ~ P  /  Q
(P & (Q ∨ P)) & ~P,P ↔ Q ; ~ P  /  ~ Q
((P → Q) → P) → P,P ↔ Q ; Q   /  P
~(~(P → Q) → P),P ∨ Q ; P  → Q  /  Q
(P → Q) ↔ ~P,P ∨ Q ; P  → Q  /  P & Q
P → (Q → (P & Q)),P → Q ; P  → ~ Q  /  ~ P
(P ∨ Q) ↔ ( ~P → Q),P → Q ; ~ P → Q  /  Q
~(P ∨ (P → Q)),P ∨ Q ; ~ P → ~ Q  /  P & Q
(P → Q) ↔ (Q → P),P → Q ; ~ P → ~ Q  /  P ↔ Q
(P → Q) ↔ ( ~Q → ~P),~ P → ~ Q ; ~ Q → ~ P  /  P ↔ Q
(P ∨ Q) → (P & Q),~ P → ~ Q ; ~ Q → ~ P  /  P & Q
(P & Q) ∨ (P & R),P ∨ ~ Q ; P  ∨ Q  /  P
[P → (Q & R)] → [P → R],P → Q ; P  ∨ Q  /  P ↔ Q
[P → (Q ∨ R)] → [P → Q],~ ( P → Q ) ; P  → ~ P  /  ~ P & ~ Q
[(P ∨ Q) → R] → [P → R],~ ( P & Q ) ; ~ Q → P  /  P
[(P & Q) → R] → [P → R],P → Q ; Q  → R  /  P → R
[(P & Q) → R] → [(Q & ~R) → ~P],P → Q ; Q  → R ; ~ P → R  /  R
[P ↔ (Q ↔ R)] ↔ [(P ↔ Q) ↔ R],P → Q ; Q  → R  /  P & R
(P & Q) ∨ (P & ~Q),R & J
~(P & ~P),~R & W
~(P ∨ ~P),J & K
~(P&Q) ∨(~P∨~Q),D & ~H
~( P ∨ Q) ∨ ( ~P & ~Q),T & ~Q
(P & Q) ∨ ( ~P & ~Q),R & (J & K)
~(P ∨ (P & Q)),(J & K) & (H & N)
